#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 05 08 00 999 99.0 99.0  0.95  6.67  4.45 167 9999.0  18.9  19.2 999.0 99.0 99.00
2023 01 05 08 30 999 99.0 99.0  0.96  6.90  4.27 158 9999.0  18.7  19.3 999.0 99.0 99.00
2023 01 05 09 00 999 99.0 99.0  1.07  6.67  4.26 161 9999.0  18.5  19.2 999.0 99.0 99.00
2023 01 05 09 30 999 99.0 99.0  1.06  6.67  3.95 162 9999.0  18.4  19.2 999.0 99.0 99.00
2023 01 05 10 00 999 99.0 99.0  0.99  7.14  4.02 170 9999.0  18.0  19.2 999.0 99.0 99.00
2023 01 05 10 30 999 99.0 99.0  0.93  6.90  4.09 166 9999.0  17.8  19.4 999.0 99.0 99.00
2023 01 05 11 00 999 99.0 99.0  0.89  6.67  4.15 165 9999.0  17.9  19.4 999.0 99.0 99.00
2023 01 05 11 30 999 99.0 99.0  0.84  7.41  3.96 169 9999.0  17.9  19.5 999.0 99.0 99.00
2023 01 05 12 00 999 99.0 99.0  0.90  6.45  4.20 163 9999.0  17.8  19.5 999.0 99.0 99.00
2023 01 05 12 30 999 99.0 99.0  0.82  6.25  4.24 165 9999.0  17.8  19.6 999.0 99.0 99.00
2023 01 05 13 00 999 99.0 99.0  0.78  6.45  4.39 161 9999.0  17.8  19.6 999.0 99.0 99.00
2023 01 05 13 30 999 99.0 99.0  0.69  6.90  4.35 157 9999.0  18.2  19.6 999.0 99.0 99.00
2023 01 05 14 00 999 99.0 99.0  0.65  7.14  4.72 165 9999.0  18.2  19.3 999.0 99.0 99.00
2023 01 05 14 30 999 99.0 99.0  0.63  6.25  4.99 164 9999.0  18.0  19.3 999.0 99.0 99.00
2023 01 05 15 00 999 99.0 99.0  0.60  6.67  5.21 176 9999.0  17.9  19.5 999.0 99.0 99.00
2023 01 05 15 30 999 99.0 99.0  0.59  6.90  5.42 169 9999.0  17.7  19.0 999.0 99.0 99.00
